starttime,seconds,ctime,dtime,ttime,wait
Sun Dec 12 15:15:25 2021,1639340125,0,493,493,493
Sun Dec 12 15:15:28 2021,1639340128,0,493,493,493
Sun Dec 12 15:15:24 2021,1639340124,3,491,494,491
Sun Dec 12 15:15:24 2021,1639340124,2,492,495,492
Sun Dec 12 15:15:38 2021,1639340138,0,498,498,498
Sun Dec 12 15:15:30 2021,1639340130,0,499,499,499
Sun Dec 12 15:15:29 2021,1639340129,0,499,499,499
Sun Dec 12 15:15:24 2021,1639340124,2,503,505,503
Sun Dec 12 15:15:27 2021,1639340127,0,506,506,505
Sun Dec 12 15:15:24 2021,1639340124,2,505,507,505
Sun Dec 12 15:15:41 2021,1639340141,0,510,510,509
Sun Dec 12 15:15:32 2021,1639340132,0,511,511,511
Sun Dec 12 15:15:30 2021,1639340130,0,522,522,522
Sun Dec 12 15:15:40 2021,1639340140,0,522,522,522
Sun Dec 12 15:15:29 2021,1639340129,0,523,523,523
Sun Dec 12 15:15:32 2021,1639340132,0,525,525,525
Sun Dec 12 15:15:28 2021,1639340128,0,528,528,527
Sun Dec 12 15:15:39 2021,1639340139,0,528,528,528
Sun Dec 12 15:15:25 2021,1639340125,0,529,529,528
Sun Dec 12 15:15:31 2021,1639340131,0,529,529,529
Sun Dec 12 15:15:30 2021,1639340130,0,530,530,524
Sun Dec 12 15:15:37 2021,1639340137,0,530,530,530
Sun Dec 12 15:15:32 2021,1639340132,0,531,531,531
Sun Dec 12 15:15:26 2021,1639340126,0,533,533,533
Sun Dec 12 15:15:38 2021,1639340138,0,534,534,534
Sun Dec 12 15:15:30 2021,1639340130,0,539,539,539
Sun Dec 12 15:15:29 2021,1639340129,0,539,540,539
Sun Dec 12 15:15:26 2021,1639340126,0,541,541,538
Sun Dec 12 15:15:33 2021,1639340133,0,542,542,542
Sun Dec 12 15:15:29 2021,1639340129,0,542,542,542
Sun Dec 12 15:15:29 2021,1639340129,0,546,546,546
Sun Dec 12 15:15:31 2021,1639340131,0,551,551,551
Sun Dec 12 15:15:36 2021,1639340136,0,552,552,552
Sun Dec 12 15:15:24 2021,1639340124,10,544,554,544
Sun Dec 12 15:15:36 2021,1639340136,0,555,555,554
Sun Dec 12 15:15:24 2021,1639340124,4,551,555,550
Sun Dec 12 15:15:31 2021,1639340131,0,556,556,556
Sun Dec 12 15:15:35 2021,1639340135,0,556,557,556
Sun Dec 12 15:15:36 2021,1639340136,0,557,557,557
Sun Dec 12 15:15:27 2021,1639340127,0,557,557,557
Sun Dec 12 15:15:41 2021,1639340141,0,557,558,557
Sun Dec 12 15:15:26 2021,1639340126,0,559,559,559
Sun Dec 12 15:15:26 2021,1639340126,0,561,561,561
Sun Dec 12 15:15:36 2021,1639340136,0,563,563,563
Sun Dec 12 15:15:28 2021,1639340128,0,564,564,564
Sun Dec 12 15:15:26 2021,1639340126,0,565,565,565
Sun Dec 12 15:15:34 2021,1639340134,0,566,566,566
Sun Dec 12 15:15:37 2021,1639340137,0,567,567,567
Sun Dec 12 15:15:30 2021,1639340130,0,571,571,571
Sun Dec 12 15:15:28 2021,1639340128,0,575,575,575
Sun Dec 12 15:15:28 2021,1639340128,0,577,577,577
Sun Dec 12 15:15:25 2021,1639340125,0,578,578,578
Sun Dec 12 15:15:38 2021,1639340138,0,578,578,578
Sun Dec 12 15:15:31 2021,1639340131,0,579,579,579
Sun Dec 12 15:15:30 2021,1639340130,0,583,583,582
Sun Dec 12 15:15:39 2021,1639340139,0,584,584,584
Sun Dec 12 15:15:41 2021,1639340141,0,585,585,585
Sun Dec 12 15:15:27 2021,1639340127,0,587,587,587
Sun Dec 12 15:15:24 2021,1639340124,2,586,588,585
Sun Dec 12 15:15:37 2021,1639340137,0,591,591,585
Sun Dec 12 15:15:25 2021,1639340125,0,594,594,594
Sun Dec 12 15:15:38 2021,1639340138,0,596,596,596
Sun Dec 12 15:15:32 2021,1639340132,0,596,596,596
Sun Dec 12 15:15:37 2021,1639340137,0,597,597,597
Sun Dec 12 15:15:28 2021,1639340128,0,599,599,599
Sun Dec 12 15:15:30 2021,1639340130,0,599,599,599
Sun Dec 12 15:15:37 2021,1639340137,0,601,601,601
Sun Dec 12 15:15:36 2021,1639340136,0,603,603,603
Sun Dec 12 15:15:25 2021,1639340125,0,605,605,605
Sun Dec 12 15:15:31 2021,1639340131,0,606,606,606
Sun Dec 12 15:15:31 2021,1639340131,0,607,607,598
